Report Date,Health District,Age Group Type,Age Group,Number of Cases,Number of Hospitalizations,Number of Deaths
04/18/2023,Prince William,Case Age Group,80+ Years,2672,364,335
04/18/2023,Prince William,Case Age Group,Missing,187,0,0
04/17/2023,Alexandria,Case Age Group,0-9 Years,5080,17,0
04/17/2023,Alexandria,Case Age Group,10-19 Years,3664,18,0
04/17/2023,Alexandria,Case Age Group,20-29 Years,8168,42,2
04/17/2023,Alexandria,Case Age Group,30-39 Years,10798,99,3
04/17/2023,Alexandria,Case Age Group,40-49 Years,7150,123,13
04/17/2023,Alexandria,Case Age Group,50-59 Years,5112,145,24
04/17/2023,Alexandria,Case Age Group,60-69 Years,3150,156,38
04/17/2023,Alexandria,Case Age Group,70-79 Years,1662,126,59
04/17/2023,Alexandria,Case Age Group,80+ Years,1010,106,94
04/17/2023,Alexandria,Case Age Group,Missing,7,0,0
04/17/2023,Arlington,Case Age Group,0-9 Years,6498,28,1
04/17/2023,Arlington,Case Age Group,10-19 Years,6312,16,0
04/17/2023,Arlington,Case Age Group,20-29 Years,16275,51,0
04/17/2023,Arlington,Case Age Group,30-39 Years,13480,100,2
04/17/2023,Arlington,Case Age Group,40-49 Years,9695,132,18
04/17/2023,Arlington,Case Age Group,50-59 Years,6868,185,26
04/17/2023,Arlington,Case Age Group,60-69 Years,4144,221,47
04/17/2023,Arlington,Case Age Group,70-79 Years,2378,281,85
04/17/2023,Arlington,Case Age Group,80+ Years,1432,356,190
04/17/2023,Arlington,Case Age Group,Missing,11,0,0
04/17/2023,Fairfax,Case Age Group,0-9 Years,27110,108,1
04/17/2023,Fairfax,Case Age Group,10-19 Years,32378,74,1
04/17/2023,Fairfax,Case Age Group,20-29 Years,43331,206,8
04/17/2023,Fairfax,Case Age Group,30-39 Years,44608,386,23
04/17/2023,Fairfax,Case Age Group,40-49 Years,41304,603,47
04/17/2023,Fairfax,Case Age Group,50-59 Years,35703,860,137
04/17/2023,Fairfax,Case Age Group,60-69 Years,24126,978,231
04/17/2023,Fairfax,Case Age Group,70-79 Years,12244,893,378
04/17/2023,Fairfax,Case Age Group,80+ Years,8550,1235,967
04/17/2023,Fairfax,Case Age Group,Missing,25,0,0
04/17/2023,Loudoun,Case Age Group,0-9 Years,11091,60,0
04/17/2023,Loudoun,Case Age Group,10-19 Years,14107,24,2
04/17/2023,Loudoun,Case Age Group,20-29 Years,13435,65,3
04/17/2023,Loudoun,Case Age Group,30-39 Years,15624,151,3
04/17/2023,Loudoun,Case Age Group,40-49 Years,16920,247,13
04/17/2023,Loudoun,Case Age Group,50-59 Years,14281,331,30
04/17/2023,Loudoun,Case Age Group,60-69 Years,7217,317,46
04/17/2023,Loudoun,Case Age Group,70-79 Years,3447,382,100
04/17/2023,Loudoun,Case Age Group,80+ Years,2189,480,251
04/17/2023,Loudoun,Case Age Group,Missing,183,0,0
04/17/2023,Prince William,Case Age Group,0-9 Years,14822,214,0
04/17/2023,Prince William,Case Age Group,10-19 Years,18145,187,0
04/17/2023,Prince William,Case Age Group,20-29 Years,24719,359,10
04/17/2023,Prince William,Case Age Group,30-39 Years,24714,516,26
04/17/2023,Prince William,Case Age Group,40-49 Years,23514,613,46
04/17/2023,Prince William,Case Age Group,50-59 Years,20333,746,107
04/17/2023,Prince William,Case Age Group,60-69 Years,11384,594,196
04/17/2023,Prince William,Case Age Group,70-79 Years,5158,485,231
04/17/2023,Prince William,Case Age Group,80+ Years,2668,364,335
04/17/2023,Prince William,Case Age Group,Missing,187,0,0
04/16/2023,Alexandria,Case Age Group,0-9 Years,5080,17,0
04/16/2023,Alexandria,Case Age Group,10-19 Years,3664,18,0
04/16/2023,Alexandria,Case Age Group,20-29 Years,8168,42,2
04/16/2023,Alexandria,Case Age Group,30-39 Years,10797,99,3
04/16/2023,Alexandria,Case Age Group,40-49 Years,7149,123,13
04/16/2023,Alexandria,Case Age Group,50-59 Years,5112,145,24
04/16/2023,Alexandria,Case Age Group,60-69 Years,3148,156,38
04/16/2023,Alexandria,Case Age Group,70-79 Years,1662,126,59
04/16/2023,Alexandria,Case Age Group,80+ Years,1010,106,94
04/16/2023,Alexandria,Case Age Group,Missing,7,0,0
04/16/2023,Arlington,Case Age Group,0-9 Years,6496,28,1
04/16/2023,Arlington,Case Age Group,10-19 Years,6311,16,0
04/16/2023,Arlington,Case Age Group,20-29 Years,16274,51,0
04/16/2023,Arlington,Case Age Group,30-39 Years,13479,100,2
04/16/2023,Arlington,Case Age Group,40-49 Years,9695,132,18
04/16/2023,Arlington,Case Age Group,50-59 Years,6867,185,26
04/16/2023,Arlington,Case Age Group,60-69 Years,4145,221,47
04/16/2023,Arlington,Case Age Group,70-79 Years,2378,281,85
04/16/2023,Arlington,Case Age Group,80+ Years,1431,356,190
04/16/2023,Arlington,Case Age Group,Missing,11,0,0
04/16/2023,Fairfax,Case Age Group,0-9 Years,27107,108,1
04/16/2023,Fairfax,Case Age Group,10-19 Years,32377,74,1
04/16/2023,Fairfax,Case Age Group,20-29 Years,43328,206,8
04/16/2023,Fairfax,Case Age Group,30-39 Years,44605,386,23
04/16/2023,Fairfax,Case Age Group,40-49 Years,41304,603,47
04/16/2023,Fairfax,Case Age Group,50-59 Years,35699,860,137
04/16/2023,Fairfax,Case Age Group,60-69 Years,24119,978,231
04/16/2023,Fairfax,Case Age Group,70-79 Years,12243,893,378
04/16/2023,Fairfax,Case Age Group,80+ Years,8548,1235,967
04/16/2023,Fairfax,Case Age Group,Missing,25,0,0
04/16/2023,Loudoun,Case Age Group,0-9 Years,11090,60,0
04/16/2023,Loudoun,Case Age Group,10-19 Years,14107,24,2
04/16/2023,Loudoun,Case Age Group,20-29 Years,13434,65,3
04/16/2023,Loudoun,Case Age Group,30-39 Years,15624,151,3
04/16/2023,Loudoun,Case Age Group,40-49 Years,16918,247,13
04/16/2023,Loudoun,Case Age Group,50-59 Years,14277,331,30
04/16/2023,Loudoun,Case Age Group,60-69 Years,7217,317,46
04/16/2023,Loudoun,Case Age Group,70-79 Years,3445,382,100
04/16/2023,Loudoun,Case Age Group,80+ Years,2189,480,251
04/16/2023,Loudoun,Case Age Group,Missing,183,0,0
04/16/2023,Prince William,Case Age Group,0-9 Years,14819,214,0
04/16/2023,Prince William,Case Age Group,10-19 Years,18145,187,0
04/16/2023,Prince William,Case Age Group,20-29 Years,24716,359,10
04/16/2023,Prince William,Case Age Group,30-39 Years,24712,516,26
04/16/2023,Prince William,Case Age Group,40-49 Years,23512,613,46
04/16/2023,Prince William,Case Age Group,50-59 Years,20331,746,107
04/16/2023,Prince William,Case Age Group,60-69 Years,11381,594,196
04/16/2023,Prince William,Case Age Group,70-79 Years,5157,485,231
04/16/2023,Prince William,Case Age Group,80+ Years,2666,364,335
04/16/2023,Prince William,Case Age Group,Missing,187,0,0
04/15/2023,Alexandria,Case Age Group,0-9 Years,5077,17,0
04/15/2023,Alexandria,Case Age Group,10-19 Years,3663,18,0
04/15/2023,Alexandria,Case Age Group,20-29 Years,8168,42,2
04/15/2023,Alexandria,Case Age Group,30-39 Years,10797,99,3
04/15/2023,Alexandria,Case Age Group,40-49 Years,7148,123,13
04/15/2023,Alexandria,Case Age Group,50-59 Years,5111,145,24
04/15/2023,Alexandria,Case Age Group,60-69 Years,3148,156,38
04/15/2023,Alexandria,Case Age Group,70-79 Years,1662,126,59
04/15/2023,Alexandria,Case Age Group,80+ Years,1010,106,94
04/15/2023,Alexandria,Case Age Group,Missing,7,0,0
04/15/2023,Arlington,Case Age Group,0-9 Years,6496,28,1
04/15/2023,Arlington,Case Age Group,10-19 Years,6310,16,0
04/15/2023,Arlington,Case Age Group,20-29 Years,16270,51,0
04/15/2023,Arlington,Case Age Group,30-39 Years,13478,100,2
04/15/2023,Arlington,Case Age Group,40-49 Years,9694,132,18
04/15/2023,Arlington,Case Age Group,50-59 Years,6867,185,26
04/15/2023,Arlington,Case Age Group,60-69 Years,4146,221,47
04/15/2023,Arlington,Case Age Group,70-79 Years,2378,281,85
04/15/2023,Arlington,Case Age Group,80+ Years,1430,356,190
04/15/2023,Arlington,Case Age Group,Missing,11,0,0
04/15/2023,Fairfax,Case Age Group,0-9 Years,27107,108,1
04/15/2023,Fairfax,Case Age Group,10-19 Years,32376,74,1
04/15/2023,Fairfax,Case Age Group,20-29 Years,43323,206,8
04/15/2023,Fairfax,Case Age Group,30-39 Years,44602,386,23
04/15/2023,Fairfax,Case Age Group,40-49 Years,41299,603,47
04/15/2023,Fairfax,Case Age Group,50-59 Years,35692,860,137
04/15/2023,Fairfax,Case Age Group,60-69 Years,24112,978,231
04/15/2023,Fairfax,Case Age Group,70-79 Years,12241,893,378
04/15/2023,Fairfax,Case Age Group,80+ Years,8543,1235,967
04/15/2023,Fairfax,Case Age Group,Missing,25,0,0
04/15/2023,Loudoun,Case Age Group,0-9 Years,11089,60,0
04/15/2023,Loudoun,Case Age Group,10-19 Years,14106,24,2
04/15/2023,Loudoun,Case Age Group,20-29 Years,13434,65,3
04/15/2023,Loudoun,Case Age Group,30-39 Years,15621,151,3
04/15/2023,Loudoun,Case Age Group,40-49 Years,16918,247,13
04/15/2023,Loudoun,Case Age Group,50-59 Years,14277,331,30
04/15/2023,Loudoun,Case Age Group,60-69 Years,7216,317,46
04/15/2023,Loudoun,Case Age Group,70-79 Years,3445,382,100
04/15/2023,Loudoun,Case Age Group,80+ Years,2189,480,251
04/15/2023,Loudoun,Case Age Group,Missing,183,0,0
04/15/2023,Prince William,Case Age Group,0-9 Years,14818,214,0
04/15/2023,Prince William,Case Age Group,10-19 Years,18142,187,0
04/15/2023,Prince William,Case Age Group,20-29 Years,24714,359,10
04/15/2023,Prince William,Case Age Group,30-39 Years,24711,516,26
04/15/2023,Prince William,Case Age Group,40-49 Years,23510,613,46
04/15/2023,Prince William,Case Age Group,50-59 Years,20331,746,107
04/15/2023,Prince William,Case Age Group,60-69 Years,11379,594,196
04/15/2023,Prince William,Case Age Group,70-79 Years,5158,485,231
04/15/2023,Prince William,Case Age Group,80+ Years,2664,364,335
04/15/2023,Prince William,Case Age Group,Missing,187,0,0
04/14/2023,Alexandria,Case Age Group,0-9 Years,5077,17,0
04/14/2023,Alexandria,Case Age Group,10-19 Years,3663,18,0
04/14/2023,Alexandria,Case Age Group,20-29 Years,8167,42,2
04/14/2023,Alexandria,Case Age Group,30-39 Years,10795,99,3
04/14/2023,Alexandria,Case Age Group,40-49 Years,7147,123,13
04/14/2023,Alexandria,Case Age Group,50-59 Years,5111,145,24
04/14/2023,Alexandria,Case Age Group,60-69 Years,3147,156,38
04/14/2023,Alexandria,Case Age Group,70-79 Years,1662,126,59
04/14/2023,Alexandria,Case Age Group,80+ Years,1010,106,94
04/14/2023,Alexandria,Case Age Group,Missing,7,0,0
04/14/2023,Arlington,Case Age Group,0-9 Years,6496,28,1
04/14/2023,Arlington,Case Age Group,10-19 Years,6310,16,0
04/14/2023,Arlington,Case Age Group,20-29 Years,16267,51,0
04/14/2023,Arlington,Case Age Group,30-39 Years,13480,100,2
04/14/2023,Arlington,Case Age Group,40-49 Years,9694,132,18
04/14/2023,Arlington,Case Age Group,50-59 Years,6868,185,26
04/14/2023,Arlington,Case Age Group,60-69 Years,4144,221,47
04/14/2023,Arlington,Case Age Group,70-79 Years,2380,281,85
04/14/2023,Arlington,Case Age Group,80+ Years,1430,356,190
04/14/2023,Arlington,Case Age Group,Missing,11,0,0
04/14/2023,Fairfax,Case Age Group,0-9 Years,27107,108,1
04/14/2023,Fairfax,Case Age Group,10-19 Years,32373,74,1
04/14/2023,Fairfax,Case Age Group,20-29 Years,43320,206,8
04/14/2023,Fairfax,Case Age Group,30-39 Years,44599,386,23
04/14/2023,Fairfax,Case Age Group,40-49 Years,41293,603,47
04/14/2023,Fairfax,Case Age Group,50-59 Years,35690,860,137
04/14/2023,Fairfax,Case Age Group,60-69 Years,24109,978,231
04/14/2023,Fairfax,Case Age Group,70-79 Years,12237,892,378
04/14/2023,Fairfax,Case Age Group,80+ Years,8542,1234,967
04/14/2023,Fairfax,Case Age Group,Missing,25,0,0
04/14/2023,Loudoun,Case Age Group,0-9 Years,11084,60,0
04/14/2023,Loudoun,Case Age Group,10-19 Years,14106,24,2
04/14/2023,Loudoun,Case Age Group,20-29 Years,13433,65,3
04/14/2023,Loudoun,Case Age Group,30-39 Years,15619,151,3
04/14/2023,Loudoun,Case Age Group,40-49 Years,16915,247,13
04/14/2023,Loudoun,Case Age Group,50-59 Years,14275,331,30
04/14/2023,Loudoun,Case Age Group,60-69 Years,7214,317,46
04/14/2023,Loudoun,Case Age Group,70-79 Years,3445,383,100
04/14/2023,Loudoun,Case Age Group,80+ Years,2188,479,251
04/14/2023,Loudoun,Case Age Group,Missing,183,0,0
04/14/2023,Prince William,Case Age Group,0-9 Years,14817,214,0
04/14/2023,Prince William,Case Age Group,10-19 Years,18141,187,0
04/14/2023,Prince William,Case Age Group,20-29 Years,24712,359,10
04/14/2023,Prince William,Case Age Group,30-39 Years,24702,516,26
04/14/2023,Prince William,Case Age Group,40-49 Years,23512,613,46
04/14/2023,Prince William,Case Age Group,50-59 Years,20327,746,107
04/14/2023,Prince William,Case Age Group,60-69 Years,11376,594,196
04/14/2023,Prince William,Case Age Group,70-79 Years,5154,485,231
04/14/2023,Prince William,Case Age Group,80+ Years,2663,364,335
04/14/2023,Prince William,Case Age Group,Missing,187,0,0
04/13/2023,Alexandria,Case Age Group,0-9 Years,5075,17,0
04/13/2023,Alexandria,Case Age Group,10-19 Years,3663,18,0
04/13/2023,Alexandria,Case Age Group,20-29 Years,8167,42,2
04/13/2023,Alexandria,Case Age Group,30-39 Years,10793,99,3
04/13/2023,Alexandria,Case Age Group,40-49 Years,7146,123,13
04/13/2023,Alexandria,Case Age Group,50-59 Years,5111,145,24
04/13/2023,Alexandria,Case Age Group,60-69 Years,3147,156,38
04/13/2023,Alexandria,Case Age Group,70-79 Years,1662,126,59
04/13/2023,Alexandria,Case Age Group,80+ Years,1010,106,94
04/13/2023,Alexandria,Case Age Group,Missing,7,0,0
04/13/2023,Arlington,Case Age Group,0-9 Years,6494,28,1
04/13/2023,Arlington,Case Age Group,10-19 Years,6309,16,0
04/13/2023,Arlington,Case Age Group,20-29 Years,16265,51,0
04/13/2023,Arlington,Case Age Group,30-39 Years,13481,100,2
04/13/2023,Arlington,Case Age Group,40-49 Years,9694,132,18
04/13/2023,Arlington,Case Age Group,50-59 Years,6867,185,26
04/13/2023,Arlington,Case Age Group,60-69 Years,4144,221,47
04/13/2023,Arlington,Case Age Group,70-79 Years,2380,281,85
04/13/2023,Arlington,Case Age Group,80+ Years,1429,356,190
04/13/2023,Arlington,Case Age Group,Missing,11,0,0
04/13/2023,Fairfax,Case Age Group,0-9 Years,27104,108,1
04/13/2023,Fairfax,Case Age Group,10-19 Years,32368,74,1
04/13/2023,Fairfax,Case Age Group,20-29 Years,43315,206,8
04/13/2023,Fairfax,Case Age Group,30-39 Years,44598,386,23
04/13/2023,Fairfax,Case Age Group,40-49 Years,41287,603,47
04/13/2023,Fairfax,Case Age Group,50-59 Years,35684,860,137
04/13/2023,Fairfax,Case Age Group,60-69 Years,24106,978,231
04/13/2023,Fairfax,Case Age Group,70-79 Years,12236,892,378
04/13/2023,Fairfax,Case Age Group,80+ Years,8538,1234,967
04/13/2023,Fairfax,Case Age Group,Missing,25,0,0
04/13/2023,Loudoun,Case Age Group,0-9 Years,11083,60,0
04/13/2023,Loudoun,Case Age Group,10-19 Years,14105,24,2
04/13/2023,Loudoun,Case Age Group,20-29 Years,13434,65,3
04/13/2023,Loudoun,Case Age Group,30-39 Years,15618,151,3
04/13/2023,Loudoun,Case Age Group,40-49 Years,16912,247,13
04/13/2023,Loudoun,Case Age Group,50-59 Years,14271,331,30
04/13/2023,Loudoun,Case Age Group,60-69 Years,7213,317,46
04/13/2023,Loudoun,Case Age Group,70-79 Years,3445,383,100
04/13/2023,Loudoun,Case Age Group,80+ Years,2188,479,251
04/13/2023,Loudoun,Case Age Group,Missing,184,0,0
04/13/2023,Prince William,Case Age Group,0-9 Years,14816,214,0
04/13/2023,Prince William,Case Age Group,10-19 Years,18141,187,0
04/13/2023,Prince William,Case Age Group,20-29 Years,24710,359,10
04/13/2023,Prince William,Case Age Group,30-39 Years,24702,516,26
04/13/2023,Prince William,Case Age Group,40-49 Years,23512,613,46
04/13/2023,Prince William,Case Age Group,50-59 Years,20326,746,107
04/13/2023,Prince William,Case Age Group,60-69 Years,11372,594,196
04/13/2023,Prince William,Case Age Group,70-79 Years,5153,485,231
04/13/2023,Prince William,Case Age Group,80+ Years,2662,364,335
04/13/2023,Prince William,Case Age Group,Missing,187,0,0
04/12/2023,Alexandria,Case Age Group,0-9 Years,5074,17,0
04/12/2023,Alexandria,Case Age Group,10-19 Years,3663,18,0
04/12/2023,Alexandria,Case Age Group,20-29 Years,8167,42,2
04/12/2023,Alexandria,Case Age Group,30-39 Years,10794,99,3
04/12/2023,Alexandria,Case Age Group,40-49 Years,7146,123,13
04/12/2023,Alexandria,Case Age Group,50-59 Years,5109,145,24
04/12/2023,Alexandria,Case Age Group,60-69 Years,3145,156,38
04/12/2023,Alexandria,Case Age Group,70-79 Years,1663,126,59
04/12/2023,Alexandria,Case Age Group,80+ Years,1010,106,94
04/12/2023,Alexandria,Case Age Group,Missing,7,0,0
04/12/2023,Arlington,Case Age Group,0-9 Years,6494,28,1
04/12/2023,Arlington,Case Age Group,10-19 Years,6309,16,0
04/12/2023,Arlington,Case Age Group,20-29 Years,16263,51,0
04/12/2023,Arlington,Case Age Group,30-39 Years,13479,100,2
04/12/2023,Arlington,Case Age Group,40-49 Years,9694,132,18
04/12/2023,Arlington,Case Age Group,50-59 Years,6868,185,26
04/12/2023,Arlington,Case Age Group,60-69 Years,4144,221,47
04/12/2023,Arlington,Case Age Group,70-79 Years,2380,281,85
04/12/2023,Arlington,Case Age Group,80+ Years,1429,356,190
04/12/2023,Arlington,Case Age Group,Missing,11,0,0
04/12/2023,Fairfax,Case Age Group,0-9 Years,27101,108,1
04/12/2023,Fairfax,Case Age Group,10-19 Years,32365,74,1
04/12/2023,Fairfax,Case Age Group,20-29 Years,43310,206,8
04/12/2023,Fairfax,Case Age Group,30-39 Years,44596,386,23
04/12/2023,Fairfax,Case Age Group,40-49 Years,41277,603,47
04/12/2023,Fairfax,Case Age Group,50-59 Years,35680,860,137
04/12/2023,Fairfax,Case Age Group,60-69 Years,24108,978,231
04/12/2023,Fairfax,Case Age Group,70-79 Years,12229,892,378
04/12/2023,Fairfax,Case Age Group,80+ Years,8536,1234,967
04/12/2023,Fairfax,Case Age Group,Missing,25,0,0
04/12/2023,Loudoun,Case Age Group,0-9 Years,11082,60,0
04/12/2023,Loudoun,Case Age Group,10-19 Years,14103,24,2
04/12/2023,Loudoun,Case Age Group,20-29 Years,13434,65,3
04/12/2023,Loudoun,Case Age Group,30-39 Years,15615,151,3
04/12/2023,Loudoun,Case Age Group,40-49 Years,16909,247,13
04/12/2023,Loudoun,Case Age Group,50-59 Years,14265,329,30
04/12/2023,Loudoun,Case Age Group,60-69 Years,7210,317,46
04/12/2023,Loudoun,Case Age Group,70-79 Years,3446,383,100
04/12/2023,Loudoun,Case Age Group,80+ Years,2187,479,251
04/12/2023,Loudoun,Case Age Group,Missing,184,0,0
04/12/2023,Prince William,Case Age Group,0-9 Years,14813,214,0
04/12/2023,Prince William,Case Age Group,10-19 Years,18141,187,0
04/12/2023,Prince William,Case Age Group,20-29 Years,24709,359,10
04/12/2023,Prince William,Case Age Group,30-39 Years,24700,516,26
04/12/2023,Prince William,Case Age Group,40-49 Years,23509,613,46
04/12/2023,Prince William,Case Age Group,50-59 Years,20322,746,107
04/12/2023,Prince William,Case Age Group,60-69 Years,11373,594,196
04/12/2023,Prince William,Case Age Group,70-79 Years,5150,485,231
04/12/2023,Prince William,Case Age Group,80+ Years,2662,364,335
04/12/2023,Prince William,Case Age Group,Missing,187,0,0
04/11/2023,Alexandria,Case Age Group,0-9 Years,5073,17,0
04/11/2023,Alexandria,Case Age Group,10-19 Years,3663,18,0
04/11/2023,Alexandria,Case Age Group,20-29 Years,8166,42,2
04/11/2023,Alexandria,Case Age Group,30-39 Years,10793,99,3
04/11/2023,Alexandria,Case Age Group,40-49 Years,7146,123,13
04/11/2023,Alexandria,Case Age Group,50-59 Years,5107,145,24
04/11/2023,Alexandria,Case Age Group,60-69 Years,3144,156,38
04/11/2023,Alexandria,Case Age Group,70-79 Years,1660,126,59
04/11/2023,Alexandria,Case Age Group,80+ Years,1010,106,94
04/11/2023,Alexandria,Case Age Group,Missing,7,0,0
04/11/2023,Arlington,Case Age Group,0-9 Years,6494,28,1
04/11/2023,Arlington,Case Age Group,10-19 Years,6309,16,0
04/11/2023,Arlington,Case Age Group,20-29 Years,16259,51,0
04/11/2023,Arlington,Case Age Group,30-39 Years,13480,100,2
04/11/2023,Arlington,Case Age Group,40-49 Years,9695,132,18
04/11/2023,Arlington,Case Age Group,50-59 Years,6865,185,26
04/11/2023,Arlington,Case Age Group,60-69 Years,4144,221,47
04/11/2023,Arlington,Case Age Group,70-79 Years,2381,281,85
04/11/2023,Arlington,Case Age Group,80+ Years,1430,356,190
04/11/2023,Arlington,Case Age Group,Missing,11,0,0
04/11/2023,Fairfax,Case Age Group,0-9 Years,27099,108,1
04/11/2023,Fairfax,Case Age Group,10-19 Years,32367,74,1
04/11/2023,Fairfax,Case Age Group,20-29 Years,43313,206,8
04/11/2023,Fairfax,Case Age Group,30-39 Years,44592,386,23
04/11/2023,Fairfax,Case Age Group,40-49 Years,41278,603,47
04/11/2023,Fairfax,Case Age Group,50-59 Years,35678,860,137
04/11/2023,Fairfax,Case Age Group,60-69 Years,24106,978,231
04/11/2023,Fairfax,Case Age Group,70-79 Years,12222,892,378
04/11/2023,Fairfax,Case Age Group,80+ Years,8534,1234,967
04/11/2023,Fairfax,Case Age Group,Missing,27,0,0
04/11/2023,Loudoun,Case Age Group,0-9 Years,11081,60,0
04/11/2023,Loudoun,Case Age Group,10-19 Years,14104,24,2
04/11/2023,Loudoun,Case Age Group,20-29 Years,13434,65,3
04/11/2023,Loudoun,Case Age Group,30-39 Years,15611,151,3
04/11/2023,Loudoun,Case Age Group,40-49 Years,16905,247,13
04/11/2023,Loudoun,Case Age Group,50-59 Years,14260,329,30
04/11/2023,Loudoun,Case Age Group,60-69 Years,7210,317,46
04/11/2023,Loudoun,Case Age Group,70-79 Years,3447,382,100
04/11/2023,Loudoun,Case Age Group,80+ Years,2185,478,251
04/11/2023,Loudoun,Case Age Group,Missing,184,0,0
04/11/2023,Prince William,Case Age Group,0-9 Years,14810,214,0
04/11/2023,Prince William,Case Age Group,10-19 Years,18140,187,0
04/11/2023,Prince William,Case Age Group,20-29 Years,24709,359,10
04/11/2023,Prince William,Case Age Group,30-39 Years,24697,516,26
04/11/2023,Prince William,Case Age Group,40-49 Years,23508,613,46
04/11/2023,Prince William,Case Age Group,50-59 Years,20318,746,107
04/11/2023,Prince William,Case Age Group,60-69 Years,11372,594,196
04/11/2023,Prince William,Case Age Group,70-79 Years,5149,485,231
04/11/2023,Prince William,Case Age Group,80+ Years,2661,364,335
04/11/2023,Prince William,Case Age Group,Missing,187,0,0
04/10/2023,Alexandria,Case Age Group,0-9 Years,5073,17,0
04/10/2023,Alexandria,Case Age Group,10-19 Years,3663,18,0
04/10/2023,Alexandria,Case Age Group,20-29 Years,8164,42,2
04/10/2023,Alexandria,Case Age Group,30-39 Years,10795,99,3
04/10/2023,Alexandria,Case Age Group,40-49 Years,7146,123,13
04/10/2023,Alexandria,Case Age Group,50-59 Years,5107,145,24
04/10/2023,Alexandria,Case Age Group,60-69 Years,3143,156,38
04/10/2023,Alexandria,Case Age Group,70-79 Years,1659,126,59
04/10/2023,Alexandria,Case Age Group,80+ Years,1010,106,94
04/10/2023,Alexandria,Case Age Group,Missing,7,0,0
04/10/2023,Arlington,Case Age Group,0-9 Years,6494,28,1
04/10/2023,Arlington,Case Age Group,10-19 Years,6308,16,0
04/10/2023,Arlington,Case Age Group,20-29 Years,16257,51,0
04/10/2023,Arlington,Case Age Group,30-39 Years,13480,100,2
04/10/2023,Arlington,Case Age Group,40-49 Years,9696,132,18
04/10/2023,Arlington,Case Age Group,50-59 Years,6863,185,26
04/10/2023,Arlington,Case Age Group,60-69 Years,4143,221,47
04/10/2023,Arlington,Case Age Group,70-79 Years,2381,281,85
04/10/2023,Arlington,Case Age Group,80+ Years,1431,356,190
04/10/2023,Arlington,Case Age Group,Missing,11,0,0
04/10/2023,Fairfax,Case Age Group,0-9 Years,27096,108,1
04/10/2023,Fairfax,Case Age Group,10-19 Years,32366,74,1
04/10/2023,Fairfax,Case Age Group,20-29 Years,43314,206,8
04/10/2023,Fairfax,Case Age Group,30-39 Years,44590,386,23
04/10/2023,Fairfax,Case Age Group,40-49 Years,41277,603,47
04/10/2023,Fairfax,Case Age Group,50-59 Years,35672,860,137
04/10/2023,Fairfax,Case Age Group,60-69 Years,24097,978,231
04/10/2023,Fairfax,Case Age Group,70-79 Years,12213,892,378
04/10/2023,Fairfax,Case Age Group,80+ Years,8531,1234,967
04/10/2023,Fairfax,Case Age Group,Missing,27,0,0
04/10/2023,Loudoun,Case Age Group,0-9 Years,11081,59,0
04/10/2023,Loudoun,Case Age Group,10-19 Years,14103,24,2
04/10/2023,Loudoun,Case Age Group,20-29 Years,13434,65,3
04/10/2023,Loudoun,Case Age Group,30-39 Years,15610,151,3
04/10/2023,Loudoun,Case Age Group,40-49 Years,16903,247,13
04/10/2023,Loudoun,Case Age Group,50-59 Years,14262,329,30
04/10/2023,Loudoun,Case Age Group,60-69 Years,7211,316,46
04/10/2023,Loudoun,Case Age Group,70-79 Years,3447,382,100
04/10/2023,Loudoun,Case Age Group,80+ Years,2184,476,251
04/10/2023,Loudoun,Case Age Group,Missing,184,0,0
04/10/2023,Prince William,Case Age Group,0-9 Years,14807,214,0
04/10/2023,Prince William,Case Age Group,10-19 Years,18139,187,0
04/10/2023,Prince William,Case Age Group,20-29 Years,24709,359,10
04/10/2023,Prince William,Case Age Group,30-39 Years,24693,516,26
04/10/2023,Prince William,Case Age Group,40-49 Years,23508,613,46
04/10/2023,Prince William,Case Age Group,50-59 Years,20314,746,107
04/10/2023,Prince William,Case Age Group,60-69 Years,11369,594,196
04/10/2023,Prince William,Case Age Group,70-79 Years,5146,485,231
04/10/2023,Prince William,Case Age Group,80+ Years,2659,364,335
04/10/2023,Prince William,Case Age Group,Missing,187,0,0
04/09/2023,Alexandria,Case Age Group,0-9 Years,5073,17,0
04/09/2023,Alexandria,Case Age Group,10-19 Years,3663,18,0
04/09/2023,Alexandria,Case Age Group,20-29 Years,8164,42,2
04/09/2023,Alexandria,Case Age Group,30-39 Years,10795,99,3
04/09/2023,Alexandria,Case Age Group,40-49 Years,7146,123,13
04/09/2023,Alexandria,Case Age Group,50-59 Years,5107,145,24
04/09/2023,Alexandria,Case Age Group,60-69 Years,3143,156,38
04/09/2023,Alexandria,Case Age Group,70-79 Years,1659,126,59
04/09/2023,Alexandria,Case Age Group,80+ Years,1009,106,94
04/09/2023,Alexandria,Case Age Group,Missing,7,0,0
04/09/2023,Arlington,Case Age Group,0-9 Years,6494,28,1
04/09/2023,Arlington,Case Age Group,10-19 Years,6308,16,0
04/09/2023,Arlington,Case Age Group,20-29 Years,16257,51,0
04/09/2023,Arlington,Case Age Group,30-39 Years,13480,100,2
04/09/2023,Arlington,Case Age Group,40-49 Years,9695,132,18
04/09/2023,Arlington,Case Age Group,50-59 Years,6863,185,26
04/09/2023,Arlington,Case Age Group,60-69 Years,4142,221,47
04/09/2023,Arlington,Case Age Group,70-79 Years,2380,281,85
04/09/2023,Arlington,Case Age Group,80+ Years,1431,356,190
